groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,LCSCharStats Ground Truth Item,LCSCharStats Ground Truth Unicode,LCSCharStats OCR Result Item,LCSCharStats OCR Result Unicode,LCSCharStats OCR Error,LCSCharStats Count
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,"14508","15690","0.3936448855803695","en, das in vielen Belangen allein eine ","0065,006e,002c,0020,0064,0061,0073,0020,0069,006e,0020,0076,0069,0065,006c,0065,006e,0020,0042,0065,006c,0061,006e,0067,0065,006e,0020,0061,006c,006c,0065,0069,006e,0020,0065,0069,006e,0065,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,," Vorteil, wenn genügend große Räume ni","0020,0056,006f,0072,0074,0065,0069,006c,002c,0020,0077,0065,006e,006e,0020,0067,0065,006e,00fc,0067,0065,006e,0064,0020,0067,0072,006f,00df,0065,0020,0052,00e4,0075,006d,0065,0020,006e,0069","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,," Vorführung an Ort und Stelle filmen ","0020,0056,006f,0072,0066,00fc,0068,0072,0075,006e,0067,0020,0061,006e,0020,004f,0072,0074,0020,0075,006e,0064,0020,0053,0074,0065,006c,006c,0065,0020,0066,0069,006c,006d,0065,006e,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,,"Bildungsbehelfes anzulegen und","0042,0069,006c,0064,0075,006e,0067,0073,0062,0065,0068,0065,006c,0066,0065,0073,0020,0061,006e,007a,0075,006c,0065,0067,0065,006e,0020,0075,006e,0064","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,,"e heute bereits jede größere Indu","0065,0020,0068,0065,0075,0074,0065,0020,0062,0065,0072,0065,0069,0074,0073,0020,006a,0065,0064,0065,0020,0067,0072,00f6,00df,0065,0072,0065,0020,0049,006e,0064,0075","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,,"tätten befinden, entfernt und ein","0074,00e4,0074,0074,0065,006e,0020,0062,0065,0066,0069,006e,0064,0065,006e,002c,0020,0065,006e,0074,0066,0065,0072,006e,0074,0020,0075,006e,0064,0020,0065,0069,006e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,,"
und Stelle zur Erinnerung mitgeben. ","000a,0075,006e,0064,0020,0053,0074,0065,006c,006c,0065,0020,007a,0075,0072,0020,0045,0072,0069,006e,006e,0065,0072,0075,006e,0067,0020,006d,0069,0074,0067,0065,0062,0065,006e,002e,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,,"
Am Karfreitag abends fan","000a,0041,006d,0020,004b,0061,0072,0066,0072,0065,0069,0074,0061,0067,0020,0061,0062,0065,006e,0064,0073,0020,0066,0061,006e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,," primitiven und billigen Mitte","0020,0070,0072,0069,006d,0069,0074,0069,0076,0065,006e,0020,0075,006e,0064,0020,0062,0069,006c,006c,0069,0067,0065,006e,0020,004d,0069,0074,0074,0065","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,,"wendungsgebiet vorbehalten i","0077,0065,006e,0064,0075,006e,0067,0073,0067,0065,0062,0069,0065,0074,0020,0076,006f,0072,0062,0065,0068,0061,006c,0074,0065,006e,0020,0069","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,,"t mehr mit dem toten Bilde begnü","0074,0020,006d,0065,0068,0072,0020,006d,0069,0074,0020,0064,0065,006d,0020,0074,006f,0074,0065,006e,0020,0042,0069,006c,0064,0065,0020,0062,0065,0067,006e,00fc","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,,"elegenheiten haben wird u.","0065,006c,0065,0067,0065,006e,0068,0065,0069,0074,0065,006e,0020,0068,0061,0062,0065,006e,0020,0077,0069,0072,0064,0020,0075,002e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,,"leihen. Alpenhotels, Strandhotels","006c,0065,0069,0068,0065,006e,002e,0020,0041,006c,0070,0065,006e,0068,006f,0074,0065,006c,0073,002c,0020,0053,0074,0072,0061,006e,0064,0068,006f,0074,0065,006c,0073","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,,"
ihnen die Streifen na","000a,0069,0068,006e,0065,006e,0020,0064,0069,0065,0020,0053,0074,0072,0065,0069,0066,0065,006e,0020,006e,0061","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,,"tellen eine viel anziehendere Werbung","0074,0065,006c,006c,0065,006e,0020,0065,0069,006e,0065,0020,0076,0069,0065,006c,0020,0061,006e,007a,0069,0065,0068,0065,006e,0064,0065,0072,0065,0020,0057,0065,0072,0062,0075,006e,0067","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,,"
Neues vom S","000a,004e,0065,0075,0065,0073,0020,0076,006f,006d,0020,0053","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,,"
genommenen Lehrfilm, wel","000a,0067,0065,006e,006f,006d,006d,0065,006e,0065,006e,0020,004c,0065,0068,0072,0066,0069,006c,006d,002c,0020,0077,0065,006c","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,,"
Vorteile bisher reinen Lehr","000a,0056,006f,0072,0074,0065,0069,006c,0065,0020,0062,0069,0073,0068,0065,0072,0020,0072,0065,0069,006e,0065,006e,0020,004c,0065,0068,0072","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,,"rößerzielbare Vorführungsbild","0072,00f6,00df,0065,0072,007a,0069,0065,006c,0062,0061,0072,0065,0020,0056,006f,0072,0066,00fc,0068,0072,0075,006e,0067,0073,0062,0069,006c,0064","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,,"malfilm als regelre","006d,0061,006c,0066,0069,006c,006d,0020,0061,006c,0073,0020,0072,0065,0067,0065,006c,0072,0065","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,,"t: So,","0074,003a,0020,0053,006f,002c","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,,"thalten, werden ","0074,0068,0061,006c,0074,0065,006e,002c,0020,0077,0065,0072,0064,0065,006e,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,,"ondern das lebendige des Film ","006f,006e,0064,0065,0072,006e,0020,0064,0061,0073,0020,006c,0065,0062,0065,006e,0064,0069,0067,0065,0020,0064,0065,0073,0020,0046,0069,006c,006d,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,,"en Vorgänge, deren Fe","0065,006e,0020,0056,006f,0072,0067,00e4,006e,0067,0065,002c,0020,0064,0065,0072,0065,006e,0020,0046,0065","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,,"us. Die von größeren ","0075,0073,002e,0020,0044,0069,0065,0020,0076,006f,006e,0020,0067,0072,00f6,00df,0065,0072,0065,006e,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00748238-00232383.deu.xml.txt,,,,"enen Vorteil ihren Gä","0065,006e,0065,006e,0020,0056,006f,0072,0074,0065,0069,006c,0020,0069,0068,0072,0065,006e,0020,0047,00e4","","","none","1"
