groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,LCSCharStats Ground Truth Item,LCSCharStats Ground Truth Unicode,LCSCharStats OCR Result Item,LCSCharStats OCR Result Unicode,LCSCharStats OCR Error,LCSCharStats Count
/home/cnd/tmp/dev/ocr_eval_paper/enp/00325448.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00325448.eng.xml.txt,"4936","5915","0.4473257698541329","
there is little doubt, if Spain becomes entirely French,","000a,0074,0068,0065,0072,0065,0020,0069,0073,0020,006c,0069,0074,0074,006c,0065,0020,0064,006f,0075,0062,0074,002c,0020,0069,0066,0020,0053,0070,0061,0069,006e,0020,0062,0065,0063,006f,006d,0065,0073,0020,0065,006e,0074,0069,0072,0065,006c,0079,0020,0046,0072,0065,006e,0063,0068,002c","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00325448.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00325448.eng.xml.txt,,,,"ilt fetters, and restoring it to that vigorous and naked","0069,006c,0074,0020,0066,0065,0074,0074,0065,0072,0073,002c,0020,0061,006e,0064,0020,0072,0065,0073,0074,006f,0072,0069,006e,0067,0020,0069,0074,0020,0074,006f,0020,0074,0068,0061,0074,0020,0076,0069,0067,006f,0072,006f,0075,0073,0020,0061,006e,0064,0020,006e,0061,006b,0065,0064","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00325448.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00325448.eng.xml.txt,,,,"
unless the civil character of the state has been altered","000a,0075,006e,006c,0065,0073,0073,0020,0074,0068,0065,0020,0063,0069,0076,0069,006c,0020,0063,0068,0061,0072,0061,0063,0074,0065,0072,0020,006f,0066,0020,0074,0068,0065,0020,0073,0074,0061,0074,0065,0020,0068,0061,0073,0020,0062,0065,0065,006e,0020,0061,006c,0074,0065,0072,0065,0064","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00325448.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00325448.eng.xml.txt,,,,"
eyes from one nation to another, we shall behold the","000a,0065,0079,0065,0073,0020,0066,0072,006f,006d,0020,006f,006e,0065,0020,006e,0061,0074,0069,006f,006e,0020,0074,006f,0020,0061,006e,006f,0074,0068,0065,0072,002c,0020,0077,0065,0020,0073,0068,0061,006c,006c,0020,0062,0065,0068,006f,006c,0064,0020,0074,0068,0065","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00325448.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00325448.eng.xml.txt,,,,"forth, like the ancient young warrior out of his","0066,006f,0072,0074,0068,002c,0020,006c,0069,006b,0065,0020,0074,0068,0065,0020,0061,006e,0063,0069,0065,006e,0074,0020,0079,006f,0075,006e,0067,0020,0077,0061,0072,0072,0069,006f,0072,0020,006f,0075,0074,0020,006f,0066,0020,0068,0069,0073","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00325448.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00325448.eng.xml.txt,,,,"
racter, a circumstance that is rarely compassed ","000a,0072,0061,0063,0074,0065,0072,002c,0020,0061,0020,0063,0069,0072,0063,0075,006d,0073,0074,0061,006e,0063,0065,0020,0074,0068,0061,0074,0020,0069,0073,0020,0072,0061,0072,0065,006c,0079,0020,0063,006f,006d,0070,0061,0073,0073,0065,0064,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00325448.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00325448.eng.xml.txt,,,,"
before it. The petty states of Germany would attack","000a,0062,0065,0066,006f,0072,0065,0020,0069,0074,002e,0020,0054,0068,0065,0020,0070,0065,0074,0074,0079,0020,0073,0074,0061,0074,0065,0073,0020,006f,0066,0020,0047,0065,0072,006d,0061,006e,0079,0020,0077,006f,0075,006c,0064,0020,0061,0074,0074,0061,0063,006b","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00325448.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00325448.eng.xml.txt,,,,"
crush in France, and which converted itself ","000a,0063,0072,0075,0073,0068,0020,0069,006e,0020,0046,0072,0061,006e,0063,0065,002c,0020,0061,006e,0064,0020,0077,0068,0069,0063,0068,0020,0063,006f,006e,0076,0065,0072,0074,0065,0064,0020,0069,0074,0073,0065,006c,0066,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00325448.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00325448.eng.xml.txt,,,,"
sunshine. It is certain that we have been grossly de","000a,0073,0075,006e,0073,0068,0069,006e,0065,002e,0020,0049,0074,0020,0069,0073,0020,0063,0065,0072,0074,0061,0069,006e,0020,0074,0068,0061,0074,0020,0077,0065,0020,0068,0061,0076,0065,0020,0062,0065,0065,006e,0020,0067,0072,006f,0073,0073,006c,0079,0020,0064,0065","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00325448.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00325448.eng.xml.txt,,,,"shackled, its","0073,0068,0061,0063,006b,006c,0065,0064,002c,0020,0069,0074,0073","","","none","1"
