groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,LCSCharStats Ground Truth Item,LCSCharStats Ground Truth Unicode,LCSCharStats OCR Result Item,LCSCharStats OCR Result Unicode,LCSCharStats OCR Error,LCSCharStats Count
/home/cnd/tmp/dev/ocr_eval_paper/enp/00762784.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00762784-00232873.pol.xml.txt,"11264","11726","0.9347478693181818","
zmniejszyć, lecz tylko absolutnie, pro-","000a,007a,006d,006e,0069,0065,006a,0073,007a,0079,0107,002c,0020,006c,0065,0063,007a,0020,0074,0079,006c,006b,006f,0020,0061,0062,0073,006f,006c,0075,0074,006e,0069,0065,002c,0020,0070,0072,006f,002d","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00762784.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00762784-00232873.pol.xml.txt,,,,"
przez dłnższy czas nie będzie miał po-","000a,0070,0072,007a,0065,007a,0020,0064,0142,006e,017c,0073,007a,0079,0020,0063,007a,0061,0073,0020,006e,0069,0065,0020,0062,0119,0064,007a,0069,0065,0020,006d,0069,0061,0142,0020,0070,006f,002d","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00762784.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00762784-00232873.pol.xml.txt,,,,"
pozostają niestety jeszcze ciągle licz-","000a,0070,006f,007a,006f,0073,0074,0061,006a,0105,0020,006e,0069,0065,0073,0074,0065,0074,0079,0020,006a,0065,0073,007a,0063,007a,0065,0020,0063,0069,0105,0067,006c,0065,0020,006c,0069,0063,007a,002d","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00762784.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00762784-00232873.pol.xml.txt,,,,"
takie przypuszczenie jest niemożliwe.","000a,0074,0061,006b,0069,0065,0020,0070,0072,007a,0079,0070,0075,0073,007a,0063,007a,0065,006e,0069,0065,0020,006a,0065,0073,0074,0020,006e,0069,0065,006d,006f,017c,006c,0069,0077,0065,002e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00762784.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00762784-00232873.pol.xml.txt,,,,"
tego kamienia, gdyż szlifiernie w Bel-","000a,0074,0065,0067,006f,0020,006b,0061,006d,0069,0065,006e,0069,0061,002c,0020,0067,0064,0079,017c,0020,0073,007a,006c,0069,0066,0069,0065,0072,006e,0069,0065,0020,0077,0020,0042,0065,006c,002d","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00762784.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00762784-00232873.pol.xml.txt,,,,"
porcjonalnie zaś do podaży najprawdo-","000a,0070,006f,0072,0063,006a,006f,006e,0061,006c,006e,0069,0065,0020,007a,0061,015b,0020,0064,006f,0020,0070,006f,0064,0061,017c,0079,0020,006e,0061,006a,0070,0072,0061,0077,0064,006f,002d","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00762784.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00762784-00232873.pol.xml.txt,,,,"
ni do pracy, imali się jej, a tych zaś,","000a,006e,0069,0020,0064,006f,0020,0070,0072,0061,0063,0079,002c,0020,0069,006d,0061,006c,0069,0020,0073,0069,0119,0020,006a,0065,006a,002c,0020,0061,0020,0074,0079,0063,0068,0020,007a,0061,015b,002c","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00762784.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00762784-00232873.pol.xml.txt,,,,"
ludności. Lecz w stosunku do r. 1915","000a,006c,0075,0064,006e,006f,015b,0063,0069,002e,0020,004c,0065,0063,007a,0020,0077,0020,0073,0074,006f,0073,0075,006e,006b,0075,0020,0064,006f,0020,0072,002e,0020,0031,0039,0031,0035","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00762784.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00762784-00232873.pol.xml.txt,,,,"
jest; w olbrzymiej większości było to","000a,006a,0065,0073,0074,003b,0020,0077,0020,006f,006c,0062,0072,007a,0079,006d,0069,0065,006a,0020,0077,0069,0119,006b,0073,007a,006f,015b,0063,0069,0020,0062,0079,0142,006f,0020,0074,006f","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00762784.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00762784-00232873.pol.xml.txt,,,,"
wodzenia. W rzeczywistości jednak","000a,0077,006f,0064,007a,0065,006e,0069,0061,002e,0020,0057,0020,0072,007a,0065,0063,007a,0079,0077,0069,0073,0074,006f,015b,0063,0069,0020,006a,0065,0064,006e,0061,006b","","","none","1"
