groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,LCSCharStats Ground Truth Item,LCSCharStats Ground Truth Unicode,LCSCharStats OCR Result Item,LCSCharStats OCR Result Unicode,LCSCharStats OCR Error,LCSCharStats Count
/home/cnd/tmp/dev/ocr_eval_paper/enp/00674479.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00674479.swe.xml.txt,"14743","15761","0.3101132740961812","wid inträffande förfall med någon af de an","0077,0069,0064,0020,0069,006e,0074,0072,00e4,0066,0066,0061,006e,0064,0065,0020,0066,00f6,0072,0066,0061,006c,006c,0020,006d,0065,0064,0020,006e,00e5,0067,006f,006e,0020,0061,0066,0020,0064,0065,0020,0061,006e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00674479.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00674479.swe.xml.txt,,,,"om låter temmeligen ofördela","006f,006d,0020,006c,00e5,0074,0065,0072,0020,0074,0065,006d,006d,0065,006c,0069,0067,0065,006e,0020,006f,0066,00f6,0072,0064,0065,006c,0061","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00674479.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00674479.swe.xml.txt,,,,"
dryga befattning han innehade i ader","000a,0064,0072,0079,0067,0061,0020,0062,0065,0066,0061,0074,0074,006e,0069,006e,0067,0020,0068,0061,006e,0020,0069,006e,006e,0065,0068,0061,0064,0065,0020,0069,0020,0061,0064,0065,0072","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00674479.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00674479.swe.xml.txt,,,,"tällningen i norra Spanien","0074,00e4,006c,006c,006e,0069,006e,0067,0065,006e,0020,0069,0020,006e,006f,0072,0072,0061,0020,0053,0070,0061,006e,0069,0065,006e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00674479.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00674479.swe.xml.txt,,,,"
att de redan börja gå an","000a,0061,0074,0074,0020,0064,0065,0020,0072,0065,0064,0061,006e,0020,0062,00f6,0072,006a,0061,0020,0067,00e5,0020,0061,006e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00674479.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00674479.swe.xml.txt,,,,"
dent den 10 Juni 1826, ärnade i f","000a,0064,0065,006e,0074,0020,0064,0065,006e,0020,0031,0030,0020,004a,0075,006e,0069,0020,0031,0038,0032,0036,002c,0020,00e4,0072,006e,0061,0064,0065,0020,0069,0020,0066","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00674479.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00674479.swe.xml.txt,,,,"borg, Thölgren m. fru fr. Borgå","0062,006f,0072,0067,002c,0020,0054,0068,00f6,006c,0067,0072,0065,006e,0020,006d,002e,0020,0066,0072,0075,0020,0066,0072,002e,0020,0042,006f,0072,0067,00e5","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00674479.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00674479.swe.xml.txt,,,,"
HUFVUDSTADSBLADET.","000a,0048,0055,0046,0056,0055,0044,0053,0054,0041,0044,0053,0042,004c,0041,0044,0045,0054,002e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00674479.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00674479.swe.xml.txt,,,,"
innehå","000a,0069,006e,006e,0065,0068,00e5","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00674479.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00674479.swe.xml.txt,,,,"ungliga trupperna ","0075,006e,0067,006c,0069,0067,0061,0020,0074,0072,0075,0070,0070,0065,0072,006e,0061,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00674479.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00674479.swe.xml.txt,,,," på nytt hota Bilbao. ","0020,0070,00e5,0020,006e,0079,0074,0074,0020,0068,006f,0074,0061,0020,0042,0069,006c,0062,0061,006f,002e,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00674479.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00674479.swe.xml.txt,,,,"
föräldrar den 11 Dec. 1809, ","000a,0066,00f6,0072,00e4,006c,0064,0072,0061,0072,0020,0064,0065,006e,0020,0031,0031,0020,0044,0065,0063,002e,0020,0031,0038,0030,0039,002c,0020","","","none","1"
