groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,LCSCharStats Ground Truth Item,LCSCharStats Ground Truth Unicode,LCSCharStats OCR Result Item,LCSCharStats OCR Result Unicode,LCSCharStats OCR Error,LCSCharStats Count
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463-00231438.fin.xml.txt,"17916","18573","0.7420741236883233","onttoriin on postitirehtöri nimittänyt","006f,006e,0074,0074,006f,0072,0069,0069,006e,0020,006f,006e,0020,0070,006f,0073,0074,0069,0074,0069,0072,0065,0068,0074,00f6,0072,0069,0020,006e,0069,006d,0069,0074,0074,00e4,006e,0079,0074","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463-00231438.fin.xml.txt,,,,"
Kuolleita: miehenpuolia 500, wai","000a,004b,0075,006f,006c,006c,0065,0069,0074,0061,003a,0020,006d,0069,0065,0068,0065,006e,0070,0075,006f,006c,0069,0061,0020,0035,0030,0030,002c,0020,0077,0061,0069","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463-00231438.fin.xml.txt,,,,"uule ei ihmisääntä, eikä ihmisaskelten","0075,0075,006c,0065,0020,0065,0069,0020,0069,0068,006d,0069,0073,00e4,00e4,006e,0074,00e4,002c,0020,0065,0069,006b,00e4,0020,0069,0068,006d,0069,0073,0061,0073,006b,0065,006c,0074,0065,006e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463-00231438.fin.xml.txt,,,,"Syntyneitä: poikalap","0053,0079,006e,0074,0079,006e,0065,0069,0074,00e4,003a,0020,0070,006f,0069,006b,0061,006c,0061,0070","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463-00231438.fin.xml.txt,,,,"
1881 enentynyt 1299 hengellä.","000a,0031,0038,0038,0031,0020,0065,006e,0065,006e,0074,0079,006e,0079,0074,0020,0031,0032,0039,0039,0020,0068,0065,006e,0067,0065,006c,006c,00e4,002e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463-00231438.fin.xml.txt,,,,"
1) postinhoitaja Kristinan kaupungis","000a,0031,0029,0020,0070,006f,0073,0074,0069,006e,0068,006f,0069,0074,0061,006a,0061,0020,004b,0072,0069,0073,0074,0069,006e,0061,006e,0020,006b,0061,0075,0070,0075,006e,0067,0069,0073","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463-00231438.fin.xml.txt,,,,"ennollen lulta, milloin tirkistellen ","0065,006e,006e,006f,006c,006c,0065,006e,0020,006c,0075,006c,0074,0061,002c,0020,006d,0069,006c,006c,006f,0069,006e,0020,0074,0069,0072,006b,0069,0073,0074,0065,006c,006c,0065,006e,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463-00231438.fin.xml.txt,,,,"
11. Muuto","000a,0031,0031,002e,0020,004d,0075,0075,0074,006f","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463-00231438.fin.xml.txt,,,,"
nimittäin 107 poika","000a,006e,0069,006d,0069,0074,0074,00e4,0069,006e,0020,0031,0030,0037,0020,0070,006f,0069,006b,0061","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463-00231438.fin.xml.txt,,,,"uoleman kautta 56; yhteen","0075,006f,006c,0065,006d,0061,006e,0020,006b,0061,0075,0074,0074,0061,0020,0035,0036,003b,0020,0079,0068,0074,0065,0065,006e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463-00231438.fin.xml.txt,,,,"et ylioppilaat, jotka aiko","0065,0074,0020,0079,006c,0069,006f,0070,0070,0069,006c,0061,0061,0074,002c,0020,006a,006f,0074,006b,0061,0020,0061,0069,006b,006f","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463-00231438.fin.xml.txt,,,,"
Joulukuun 30 p:nä uudelleen tapahtu","000a,004a,006f,0075,006c,0075,006b,0075,0075,006e,0020,0033,0030,0020,0070,003a,006e,00e4,0020,0075,0075,0064,0065,006c,006c,0065,0065,006e,0020,0074,0061,0070,0061,0068,0074,0075","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463-00231438.fin.xml.txt,,,,"
man. on tuomiokapituli määrännyt a","000a,006d,0061,006e,002e,0020,006f,006e,0020,0074,0075,006f,006d,0069,006f,006b,0061,0070,0069,0074,0075,006c,0069,0020,006d,00e4,00e4,0072,00e4,006e,006e,0079,0074,0020,0061","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463-00231438.fin.xml.txt,,,,"opinaa; mutta ihmekös tuo: talon ","006f,0070,0069,006e,0061,0061,003b,0020,006d,0075,0074,0074,0061,0020,0069,0068,006d,0065,006b,00f6,0073,0020,0074,0075,006f,003a,0020,0074,0061,006c,006f,006e,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675463-00231438.fin.xml.txt,,,,"
hienoluontoinen ja arkatuntoinen, et","000a,0068,0069,0065,006e,006f,006c,0075,006f,006e,0074,006f,0069,006e,0065,006e,0020,006a,0061,0020,0061,0072,006b,0061,0074,0075,006e,0074,006f,0069,006e,0065,006e,002c,0020,0065,0074","","","none","1"
