groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,LCSCharStats Ground Truth Item,LCSCharStats Ground Truth Unicode,LCSCharStats OCR Result Item,LCSCharStats OCR Result Unicode,LCSCharStats OCR Error,LCSCharStats Count
/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00761868.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00761868-00232481.gt4hist.xml.txt,"7764","7812","0.1593250901597115",", 1889 ","002c,0020,0031,0038,0038,0039,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00761868.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00761868-00232481.gt4hist.xml.txt,,,," 25. ","0020,0032,0035,002e,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00761868.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00761868-00232481.gt4hist.xml.txt,,,," 5—6 ","0020,0035,2014,0036,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00761868.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00761868-00232481.gt4hist.xml.txt,,,," 2","0020,0032","","","none","3"
/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00761868.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00761868-00232481.gt4hist.xml.txt,,,," 50 ","0020,0035,0030,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00761868.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00761868-00232481.gt4hist.xml.txt,,,,", ","002c,0020","","","none","43"
/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00761868.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00761868-00232481.gt4hist.xml.txt,,,," : ","0020,003a,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00761868.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00761868-00232481.gt4hist.xml.txt,,,,"БРОЈ","0411,0420,041e,0408","
Bpol","000a,0042,0070,006f,006c","misrecognised","1"
/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00761868.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00761868-00232481.gt4hist.xml.txt,,,,"5","0035","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00761868.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00761868-00232481.gt4hist.xml.txt,,,," II","0020,0049,0049","","","none","1"
