groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,LCSCharStats Ground Truth Item,LCSCharStats Ground Truth Unicode,LCSCharStats OCR Result Item,LCSCharStats OCR Result Unicode,LCSCharStats OCR Error,LCSCharStats Count
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252-00231060.est.xml.txt,"9050","15790","0.0","t üles anda Peterburi uul. nr. 56, uul.","0074,0020,00fc,006c,0065,0073,0020,0061,006e,0064,0061,0020,0050,0065,0074,0065,0072,0062,0075,0072,0069,0020,0075,0075,006c,002e,0020,006e,0072,002e,0020,0035,0036,002c,0020,0075,0075,006c,002e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252-00231060.est.xml.txt,,,,"ul. nr. 12, Faure majas.","0075,006c,002e,0020,006e,0072,002e,0020,0031,0032,002c,0020,0046,0061,0075,0072,0065,0020,006d,0061,006a,0061,0073,002e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252-00231060.est.xml.txt,,,,"
Lähemad teated edespidi. Auupaklikult","000a,004c,00e4,0068,0065,006d,0061,0064,0020,0074,0065,0061,0074,0065,0064,0020,0065,0064,0065,0073,0070,0069,0064,0069,002e,0020,0041,0075,0075,0070,0061,006b,006c,0069,006b,0075,006c,0074","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252-00231060.est.xml.txt,,,,"u protokolli etteluge","0075,0020,0070,0072,006f,0074,006f,006b,006f,006c,006c,0069,0020,0065,0074,0074,0065,006c,0075,0067,0065","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252-00231060.est.xml.txt,,,,"ugu haigeid wa","0075,0067,0075,0020,0068,0061,0069,0067,0065,0069,0064,0020,0077,0061","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252-00231060.est.xml.txt,,,,"
Tähendus: Raamatukauplus on iga","000a,0054,00e4,0068,0065,006e,0064,0075,0073,003a,0020,0052,0061,0061,006d,0061,0074,0075,006b,0061,0075,0070,006c,0075,0073,0020,006f,006e,0020,0069,0067,0061","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252-00231060.est.xml.txt,,,,"a (jutt). Ristitud mets (pildiga). ","0061,0020,0028,006a,0075,0074,0074,0029,002e,0020,0052,0069,0073,0074,0069,0074,0075,0064,0020,006d,0065,0074,0073,0020,0028,0070,0069,006c,0064,0069,0067,0061,0029,002e,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252-00231060.est.xml.txt,,,,"Peterburi Eesti kars","0050,0065,0074,0065,0072,0062,0075,0072,0069,0020,0045,0065,0073,0074,0069,0020,006b,0061,0072,0073","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252-00231060.est.xml.txt,,,,"õtmine ja aastamak","00f5,0074,006d,0069,006e,0065,0020,006a,0061,0020,0061,0061,0073,0074,0061,006d,0061,006b","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252-00231060.est.xml.txt,,,," kõik","0020,006b,00f5,0069,006b","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252-00231060.est.xml.txt,,,,"wad õppida, ","0077,0061,0064,0020,00f5,0070,0070,0069,0064,0061,002c,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252-00231060.est.xml.txt,,,,"keelt rääkijaid õpipois-","006b,0065,0065,006c,0074,0020,0072,00e4,00e4,006b,0069,006a,0061,0069,0064,0020,00f5,0070,0069,0070,006f,0069,0073,002d","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252-00231060.est.xml.txt,,,,"
Suur ilunäitlus laulu ja tant","000a,0053,0075,0075,0072,0020,0069,006c,0075,006e,00e4,0069,0074,006c,0075,0073,0020,006c,0061,0075,006c,0075,0020,006a,0061,0020,0074,0061,006e,0074","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252-00231060.est.xml.txt,,,,"
Loodan, et mind mitte lahkelt ","000a,004c,006f,006f,0064,0061,006e,002c,0020,0065,0074,0020,006d,0069,006e,0064,0020,006d,0069,0074,0074,0065,0020,006c,0061,0068,006b,0065,006c,0074,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252-00231060.est.xml.txt,,,,"anda Suurel turul nr. 7, wiima","0061,006e,0064,0061,0020,0053,0075,0075,0072,0065,006c,0020,0074,0075,0072,0075,006c,0020,006e,0072,002e,0020,0037,002c,0020,0077,0069,0069,006d,0061","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252-00231060.est.xml.txt,,,,"
Reedel, 18. webr. ","000a,0052,0065,0065,0064,0065,006c,002c,0020,0031,0038,002e,0020,0077,0065,0062,0072,002e,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00675252-00231060.est.xml.txt,,,,"wal, 23. jaanua","0077,0061,006c,002c,0020,0032,0033,002e,0020,006a,0061,0061,006e,0075,0061","","","none","1"
